,0,1,2,3,4,5,6,7
203,G08,G10,G18,G23,G24,G27,G32,
204,G08,G10,G18,G23,G24,G27,G32,
205,G08,G10,G18,G23,G24,G27,G32,
206,G08,G10,G18,G23,G24,G27,G32,
207,G08,G10,G18,G23,G24,G27,G32,
208,G08,G10,G18,G23,G24,G27,G32,
209,G08,G10,G18,G23,G24,G27,G32,
210,G08,G10,G18,G23,G24,G27,G32,
211,G08,G10,G18,G23,G24,G27,G32,
212,G08,G10,G18,G21,G23,G24,G27,G32
213,G08,G10,G18,G21,G23,G24,G27,G32
214,G08,G10,G18,G21,G23,G24,G27,G32
215,G08,G10,G18,G21,G23,G24,G27,G32
216,G08,G10,G18,G21,G23,G24,G27,G32
217,G08,G10,G18,G21,G23,G24,G27,G32
218,G08,G10,G18,G21,G23,G24,G27,G32
219,G08,G10,G18,G21,G23,G24,G27,G32
220,G08,G10,G18,G23,G24,G27,G32,
221,G08,G10,G18,G23,G24,G27,G32,
222,G08,G10,G18,G23,G24,G27,G32,
223,G08,G10,G18,G23,G24,G27,G32,
224,G08,G10,G18,G23,G24,G27,G32,
225,G08,G10,G18,G23,G24,G27,G32,
226,G08,G10,G18,G21,G23,G24,G27,G32
227,G08,G10,G18,G23,G24,G27,G32,
228,G08,G10,G18,G21,G23,G24,G27,G32
229,G08,G10,G18,G21,G23,G24,G27,G32
230,G08,G10,G18,G21,G23,G24,G27,G32
231,G08,G10,G18,G21,G23,G24,G27,G32
232,G08,G10,G18,G21,G23,G24,G27,G32
233,G08,G10,G18,G21,G23,G24,G27,G32
234,G08,G10,G18,G21,G23,G24,G27,G32
235,G08,G10,G18,G21,G23,G24,G27,G32
236,G08,G10,G18,G21,G23,G24,G27,G32
237,G08,G10,G18,G21,G23,G24,G27,G32
238,G08,G10,G18,G23,G24,G27,G32,
239,G08,G10,G18,G23,G24,G27,G32,
240,G08,G10,G18,G21,G23,G24,G27,G32
241,G08,G10,G18,G23,G24,G27,G32,
242,G08,G10,G18,G23,G24,G27,G32,
243,G08,G10,G18,G23,G24,G27,G32,
244,G08,G10,G18,G21,G23,G24,G27,G32
245,G08,G10,G18,G21,G23,G24,G27,G32
246,G08,G10,G18,G21,G23,G24,G27,G32
247,G08,G10,G18,G23,G24,G27,G32,
248,G08,G10,G18,G23,G24,G27,G32,
249,G08,G10,G18,G23,G24,G27,G32,
250,G08,G10,G18,G21,G23,G27,G32,
251,G08,G10,G18,G23,G27,G32,,
252,G08,G10,G18,G23,G27,G32,,
253,G08,G10,G18,G23,G27,G32,,
254,G08,G10,G18,G23,G27,G32,,
255,G08,G10,G18,G23,G27,G32,,
256,G08,G10,G18,G23,G27,G32,,
257,G08,G10,G18,G21,G23,G27,G32,
258,G08,G10,G18,G21,G23,G27,G32,
259,G08,G10,G18,G21,G23,G27,G32,
