,0
166,['G10' 'G11' 'G14' 'G18' 'G25']
167,['G10' 'G11' 'G14' 'G18' 'G25']
168,['G10' 'G11' 'G14' 'G18' 'G25']
169,['G10' 'G11' 'G14' 'G18' 'G25']
170,['G10' 'G11' 'G14' 'G18' 'G25']
171,['G10' 'G11' 'G14' 'G18' 'G25']
172,['G10' 'G11' 'G14' 'G18' 'G25']
173,['G10' 'G11' 'G14' 'G18' 'G25']
174,['G10' 'G11' 'G14' 'G18' 'G25']
175,['G10' 'G11' 'G14' 'G18' 'G25']
176,['G10' 'G11' 'G14' 'G18' 'G25']
177,['G10' 'G11' 'G14' 'G18' 'G25']
178,['G10' 'G11' 'G14' 'G18' 'G25']
179,['G10' 'G11' 'G14' 'G18' 'G25']
180,['G10' 'G11' 'G14' 'G18' 'G25']
181,['G10' 'G11' 'G14' 'G18' 'G25']
182,['G10' 'G11' 'G14' 'G18' 'G25']
183,['G10' 'G11' 'G14' 'G18' 'G25']
184,['G10' 'G11' 'G14' 'G18' 'G25']
185,['G10' 'G11' 'G14' 'G18' 'G25']
186,['G10' 'G11' 'G14' 'G18' 'G25']
187,['G10' 'G11' 'G14' 'G18' 'G25']
188,['G10' 'G11' 'G14' 'G18' 'G25']
189,['G10' 'G11' 'G14' 'G18' 'G25']
190,['G10' 'G11' 'G14' 'G18' 'G25']
191,['G10' 'G11' 'G14' 'G18' 'G25']
192,['G10' 'G11' 'G14' 'G18' 'G25']
193,['G10' 'G11' 'G14' 'G18' 'G25']
194,['G10' 'G11' 'G14' 'G18' 'G25']
195,['G10' 'G11' 'G14' 'G18' 'G25']
196,['G10' 'G11' 'G14' 'G18' 'G25']
197,['G10' 'G11' 'G14' 'G18' 'G25']
198,['G10' 'G11' 'G14' 'G18' 'G25']
199,['G10' 'G11' 'G14' 'G18' 'G25']
200,['G10' 'G11' 'G14' 'G18' 'G25']
201,['G10' 'G11' 'G14' 'G18' 'G25']
202,['G10' 'G11' 'G14' 'G18' 'G25']
203,['G10' 'G11' 'G14' 'G18' 'G25']
204,['G10' 'G11' 'G14' 'G18' 'G25']
205,['G10' 'G11' 'G14' 'G18' 'G25']
206,['G10' 'G11' 'G14' 'G18' 'G25']
207,['G10' 'G11' 'G14' 'G18' 'G25']
208,['G10' 'G11' 'G14' 'G18' 'G25']
209,['G10' 'G11' 'G14' 'G18' 'G25']
210,['G10' 'G11' 'G14' 'G18' 'G25']
211,['G10' 'G11' 'G14' 'G18' 'G25']
212,['G10' 'G11' 'G14' 'G18' 'G25']
213,['G10' 'G11' 'G14' 'G18' 'G25']
214,['G10' 'G11' 'G14' 'G18' 'G25']
215,['G10' 'G11' 'G14' 'G18' 'G25']
216,['G10' 'G11' 'G14' 'G18' 'G25']
217,['G10' 'G11' 'G14' 'G18' 'G25']
218,['G10' 'G11' 'G14' 'G18' 'G25']
219,['G10' 'G11' 'G14' 'G18' 'G25']
220,['G10' 'G11' 'G14' 'G18' 'G25']
221,['G10' 'G11' 'G14' 'G18' 'G25']
222,['G10' 'G11' 'G14' 'G18' 'G25']
223,['G10' 'G11' 'G14' 'G18' 'G25']
224,['G10' 'G11' 'G14' 'G18' 'G25']
225,['G10' 'G11' 'G14' 'G18' 'G25']
226,['G10' 'G11' 'G14' 'G18' 'G25']
227,['G10' 'G11' 'G14' 'G18' 'G25']
228,['G10' 'G11' 'G14' 'G18' 'G25']
229,['G10' 'G11' 'G14' 'G18' 'G25']
230,['G10' 'G11' 'G14' 'G18' 'G25']
231,['G10' 'G11' 'G14' 'G18' 'G25']
232,['G10' 'G11' 'G14' 'G18' 'G25']
233,['G10' 'G11' 'G14' 'G18' 'G25']
234,['G10' 'G11' 'G14' 'G18' 'G25']
235,['G10' 'G11' 'G14' 'G18' 'G25']
236,['G10' 'G11' 'G14' 'G18' 'G25']
237,['G10' 'G11' 'G14' 'G18' 'G25']
238,['G10' 'G11' 'G14' 'G18' 'G25']
239,['G10' 'G11' 'G14' 'G18' 'G25']
240,['G10' 'G11' 'G14' 'G18' 'G25']
241,['G10' 'G11' 'G14' 'G18' 'G25']
242,['G10' 'G11' 'G14' 'G18' 'G25']
243,['G10' 'G11' 'G14' 'G18' 'G25']
244,['G10' 'G11' 'G14' 'G18' 'G25']
245,['G10' 'G11' 'G14' 'G18' 'G25']
246,['G10' 'G11' 'G14' 'G18' 'G25']
247,['G10' 'G11' 'G14' 'G18' 'G25']
248,['G10' 'G11' 'G14' 'G18' 'G25']
249,['G10' 'G11' 'G14' 'G18' 'G25']
250,['G10' 'G11' 'G14' 'G18' 'G25']
251,['G10' 'G11' 'G14' 'G18' 'G25']
252,['G10' 'G11' 'G14' 'G18' 'G25']
253,['G10' 'G11' 'G14' 'G18' 'G25']
254,['G10' 'G11' 'G14' 'G18' 'G25']
255,['G10' 'G11' 'G14' 'G18' 'G25']
256,['G10' 'G11' 'G14' 'G18' 'G25']
257,['G10' 'G11' 'G14' 'G18' 'G25']
258,['G10' 'G11' 'G14' 'G18' 'G25']
259,['G10' 'G11' 'G14' 'G18' 'G25']
260,['G10' 'G11' 'G14' 'G18' 'G25']
261,['G10' 'G11' 'G14' 'G18' 'G25']
262,['G10' 'G11' 'G14' 'G18' 'G25']
263,['G10' 'G11' 'G14' 'G18' 'G25']
264,['G10' 'G11' 'G14' 'G18' 'G25']
265,['G10' 'G11' 'G14' 'G18' 'G25']
266,['G10' 'G11' 'G14' 'G18' 'G25']
267,['G10' 'G11' 'G14' 'G18' 'G25']
268,['G10' 'G11' 'G14' 'G18' 'G25']
269,['G10' 'G11' 'G14' 'G18' 'G25']
270,['G10' 'G11' 'G14' 'G18' 'G25']
271,['G10' 'G11' 'G14' 'G18' 'G25']
272,['G10' 'G11' 'G14' 'G18' 'G25']
273,['G10' 'G11' 'G14' 'G18' 'G25']
274,['G10' 'G11' 'G14' 'G18' 'G25']
275,['G10' 'G11' 'G14' 'G18' 'G25']
276,['G10' 'G11' 'G14' 'G18' 'G25']
277,['G10' 'G11' 'G14' 'G18' 'G25']
278,['G10' 'G11' 'G14' 'G18' 'G25']
279,['G10' 'G11' 'G14' 'G18' 'G25']
280,['G10' 'G11' 'G14' 'G18' 'G25']
281,['G10' 'G11' 'G14' 'G18' 'G25']
282,['G10' 'G11' 'G14' 'G18' 'G25']
283,['G10' 'G11' 'G14' 'G18' 'G25']
284,['G10' 'G11' 'G14' 'G18' 'G25']
285,['G10' 'G11' 'G14' 'G18' 'G25']
286,['G10' 'G11' 'G14' 'G18' 'G25']
287,['G10' 'G11' 'G14' 'G18' 'G25']
288,['G10' 'G11' 'G14' 'G18' 'G25']
289,['G10' 'G11' 'G14' 'G18' 'G25']
290,['G10' 'G11' 'G14' 'G18' 'G25']
291,['G10' 'G11' 'G14' 'G18' 'G25']
292,['G10' 'G11' 'G14' 'G18' 'G25']
293,['G10' 'G11' 'G14' 'G18' 'G25']
294,['G10' 'G11' 'G14' 'G18' 'G25']
295,['G10' 'G11' 'G14' 'G18' 'G25']
296,['G10' 'G11' 'G14' 'G18' 'G25']
297,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
298,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
299,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
300,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
301,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
302,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
303,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
304,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
305,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
306,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
307,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
308,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
309,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
310,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
311,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
312,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
313,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
314,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
315,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
316,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
317,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
318,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
319,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
320,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
321,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
322,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
323,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
324,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
325,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
326,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
327,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
328,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
329,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
330,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
331,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
332,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
333,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
334,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
335,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
336,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
337,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
338,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
339,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
340,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
341,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
342,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
343,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
344,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
345,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
346,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
347,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
348,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
349,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
350,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
351,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
352,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
353,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
354,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
355,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
356,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
357,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
358,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
359,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
360,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
361,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
362,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
363,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
364,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
365,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
366,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
367,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
368,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
369,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
370,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
371,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
372,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
373,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
374,"['G01' 'G03' 'G08' 'G10' 'G11' 'G14' 'G17' 'G18' 'G22' 'G23' 'G25' 'G31'
 'G32']"
