,0,1,2,3,4,5,6,7,8,9,10,11
56,348.0,-4640.0,270.0,1468.0,246.0,975.0,295.0,460.0,337.0,920.0,1061.0,1244.0
57,348.0,-4640.0,270.0,1469.0,246.0,976.0,295.0,460.0,337.0,920.0,1062.0,1245.0
58,348.0,-4640.0,270.0,1470.0,246.0,976.0,295.0,460.0,337.0,921.0,1062.0,1245.0
59,348.0,-4640.0,270.0,1469.0,246.0,976.0,295.0,460.0,337.0,921.0,1062.0,1245.0
60,348.0,-4640.0,270.0,1469.0,246.0,976.0,295.0,460.0,337.0,921.0,1062.0,1245.0
61,348.0,-4640.0,270.0,1469.0,246.0,976.0,295.0,460.0,337.0,921.0,1062.0,1245.0
62,348.0,-4640.0,270.0,1470.0,246.0,976.0,295.0,460.0,337.0,922.0,1062.0,1245.0
63,348.0,-4640.0,270.0,1470.0,246.0,976.0,295.0,460.0,337.0,922.0,1062.0,1246.0
64,348.0,-4640.0,270.0,1470.0,246.0,976.0,295.0,460.0,337.0,922.0,1062.0,1246.0
65,348.0,-4640.0,270.0,1469.0,246.0,976.0,295.0,459.0,337.0,921.0,1061.0,1245.0
66,348.0,-4640.0,270.0,1470.0,246.0,976.0,296.0,460.0,337.0,922.0,1062.0,1246.0
67,349.0,-4639.0,271.0,1473.0,247.0,978.0,297.0,461.0,338.0,925.0,1064.0,1248.0
68,350.0,-4639.0,271.0,1475.0,247.0,980.0,297.0,461.0,339.0,927.0,1066.0,1250.0
69,350.0,-4639.0,271.0,1475.0,247.0,980.0,297.0,461.0,339.0,927.0,1066.0,1250.0
70,350.0,-4639.0,272.0,1476.0,247.0,981.0,297.0,462.0,339.0,928.0,1067.0,1251.0
71,350.0,-4639.0,271.0,1477.0,247.0,981.0,296.0,462.0,339.0,928.0,1067.0,1251.0
72,350.0,-4639.0,271.0,1475.0,247.0,980.0,296.0,462.0,339.0,927.0,1066.0,1250.0
73,350.0,-4639.0,272.0,1475.0,247.0,980.0,297.0,462.0,339.0,927.0,1066.0,1250.0
74,350.0,-4639.0,271.0,1477.0,247.0,981.0,297.0,462.0,339.0,928.0,1067.0,1251.0
75,350.0,-4639.0,272.0,1477.0,247.0,981.0,297.0,462.0,339.0,928.0,1067.0,1251.0
76,350.0,-4639.0,272.0,1478.0,247.0,981.0,297.0,462.0,339.0,929.0,1068.0,1252.0
77,350.0,-4639.0,272.0,1478.0,247.0,981.0,297.0,462.0,339.0,929.0,1068.0,1252.0
78,350.0,-4639.0,271.0,1477.0,247.0,981.0,297.0,462.0,339.0,929.0,1067.0,1252.0
79,350.0,-4639.0,271.0,1478.0,247.0,981.0,297.0,462.0,339.0,930.0,1068.0,1252.0
80,350.0,-4639.0,271.0,1478.0,247.0,981.0,297.0,462.0,339.0,930.0,1068.0,1252.0
81,350.0,-4639.0,271.0,1478.0,247.0,981.0,297.0,462.0,339.0,930.0,1068.0,1252.0
82,350.0,-4639.0,271.0,1479.0,247.0,982.0,297.0,462.0,339.0,931.0,1068.0,1253.0
83,350.0,-4639.0,272.0,1478.0,247.0,982.0,297.0,462.0,339.0,930.0,1068.0,1253.0
84,350.0,-4639.0,271.0,1478.0,247.0,981.0,297.0,462.0,339.0,930.0,1068.0,1252.0
85,350.0,-4639.0,271.0,1477.0,247.0,981.0,297.0,462.0,339.0,929.0,1067.0,1252.0
86,350.0,-4639.0,271.0,1476.0,247.0,980.0,297.0,462.0,339.0,928.0,1066.0,1251.0
87,349.0,-4639.0,271.0,1475.0,247.0,980.0,297.0,461.0,339.0,927.0,1066.0,1250.0
88,349.0,-4639.0,271.0,1474.0,247.0,979.0,297.0,461.0,338.0,926.0,1065.0,1249.0
89,349.0,-4640.0,270.0,1473.0,246.0,978.0,296.0,460.0,338.0,925.0,1064.0,1248.0
